LGA_Name,State,Latitude,Longitude,mean_nightlight_intensity,MPI,Headcount_Ratio,Intensity_of_Deprivation,In_Severe_Poverty,population_density,health_facility_count,school_count,road_density_km,ndvi_mean,rainfall_mm,idp_count,food_price_index,composite_poverty_score,cluster,cluster_label,risk_level
Oyi,Anambra,5.25,6.21666667,0.4097859816708558,0.0089,2.0449,43.3105,0.5472,1235.4936252435057,73.0,200.0,2.0734,0.4413495538278084,1979.8738956548339,0.0,0.0,0.008680542,1,High Risk - Severe Poverty,High
Alkaleri,Bauchi,9.88333333,10.5,0.0017452437076690148,0.4411,75.3563,58.5358,50.7513,171.67715889059764,81.0,302.0,0.9494,0.43778098027569107,3017.7627923606847,1213.0,0.0,0.4410049,0,Critical - Humanitarian Emergency,Critical
Bauchi,Bauchi,10.31583333,9.84416667,0.10755165084938094,0.4411,75.3563,58.5358,50.7513,171.67715889059767,176.0,302.0,0.8764800000000001,0.4229406571297945,1606.3306321852865,11455.0,0.0,0.43976673,0,Critical - Humanitarian Emergency,Critical
Bogoro,Bauchi,9.66852,9.60395,0.0,0.4411,75.3563,58.5358,50.7513,171.67715889059767,42.0,302.0,0.7315799999999999,0.5148290042287227,2802.26877466768,340.0,0.0,0.4409099,0,Critical - Humanitarian Emergency,Critical
Damban,Bauchi,11.62592,10.78622,0.14207713222645174,0.4411,75.3563,58.5358,50.7513,171.67715889059767,0.0,302.0,1.18594,0.46633442969030225,1658.5262698097838,2995.0,0.0,0.44198915,0,Critical - Humanitarian Emergency,Critical
Darazo,Bauchi,11.0,10.41,0.002131465526380533,0.4411,75.3563,58.5358,50.7513,171.67715889059767,68.0,302.0,1.23148,0.485888500235915,2415.2208559792875,1875.0,0.0,0.44072446,0,Critical - Humanitarian Emergency,Critical
Dass,Bauchi,10.126111,9.484704,0.0033125734478814646,0.4411,75.3563,58.5358,50.7513,171.67715889059767,45.0,302.0,0.9494,0.44366090708179823,1947.0897483155845,1248.0,0.0,0.44081044,0,Critical - Humanitarian Emergency,Critical
Gamawa,Bauchi,12.133333,10.533333,0.001899270903322778,0.4411,75.3563,58.5358,50.7513,171.67715889059767,57.0,302.0,1.2110600000000002,0.44618386088879275,2456.825512472526,2398.0,0.0,0.44104818,0,Critical - Humanitarian Emergency,Critical
Ganjuwa,Bauchi,10.868124,10.165283,0.004220685351529224,0.4411,75.3563,58.5358,50.7513,171.67715889059767,100.0,302.0,0.72848,0.42505732938178575,1781.4265700519281,844.0,0.0,0.42698884,0,Critical - Humanitarian Emergency,Critical
Giade,Bauchi,11.390251,10.199128,0.007743912263655327,0.4411,75.3563,58.5358,50.7513,171.67715889059764,45.0,302.0,0.9494,0.4856308379212373,2443.1149830268323,1484.0,0.0,0.4410619,0,Critical - Humanitarian Emergency,Critical
Itas/Gadau,Bauchi,11.86666667,9.96666667,0.00396892896067688,0.4411,75.3563,58.5358,50.7513,171.67715889059764,62.0,302.0,1.0449000000000002,0.42002243988643,1668.5340021012496,2787.0,0.0,0.4406684,0,Critical - Humanitarian Emergency,Critical
Jama'are,Bauchi,11.669111,9.928958,0.017149793361474215,0.4411,75.3563,58.5358,50.7513,171.67715889059767,0.0,302.0,1.3441,0.47219131396739406,2917.0776488182687,0.0,0.0,0.4416543,0,Critical - Humanitarian Emergency,Critical
Katagum,Bauchi,12.28333333,10.35,0.04552995051688558,0.4411,75.3563,58.5358,50.7513,171.67715889059767,64.0,302.0,1.0630600000000001,0.4049638612134602,1458.4798522176873,5087.0,0.0,0.4380964,0,Critical - Humanitarian Emergency,Critical
Kirfi,Bauchi,10.4,10.4,0.002515076659980886,0.4411,75.3563,58.5358,50.7513,171.67715889059767,50.0,302.0,0.7809800000000001,0.4196317709459268,2420.1840486741607,1076.0,0.0,0.4410491,0,Critical - Humanitarian Emergency,Critical
Misau,Bauchi,11.313599,10.463126,0.013707077207943032,0.4411,75.3563,58.5358,50.7513,171.67715889059764,59.0,302.0,0.9220200000000001,0.3763767051848477,1408.405217631693,2013.0,0.0,0.4403639,0,Critical - Humanitarian Emergency,Critical
Ningi,Bauchi,11.06666667,9.56666667,0.0019520945958493082,0.4411,75.3563,58.5358,50.7513,171.67715889059767,96.0,302.0,1.01752,0.5531830646499041,2456.9600431070594,3537.0,0.0,0.44097286,0,Critical - Humanitarian Emergency,Critical
Shira,Bauchi,11.50416667,10.01722222,0.00536029405064053,0.4411,75.3563,58.5358,50.7513,171.67715889059767,66.0,302.0,0.8287800000000001,0.3908995907538282,1620.6244707755545,1406.0,0.0,0.4404696,0,Critical - Humanitarian Emergency,Critical
Tafawa Balewa,Bauchi,9.759094,9.553127,0.00912429613799043,0.4411,75.3563,58.5358,50.7513,171.67715889059764,0.0,302.0,1.20466,0.47954142843410974,2530.586675290332,0.0,0.0,0.43784073,0,Critical - Humanitarian Emergency,Critical
Toro,Bauchi,10.059364,9.071724,0.006656580532869185,0.4411,75.3563,58.5358,50.7513,171.67715889059767,163.0,302.0,0.8946400000000001,0.46687583398775007,1756.9570237339547,10250.0,0.0,0.44083887,0,Critical - Humanitarian Emergency,Critical
